#l;m;n;k;Gflops
1;50176;192;27;7.87e+01
5;50176;64;192;6.00e+01
8;50176;96;192;7.47e+01
11;50176;128;864;7.03e+01
14;50176;16;192;2.57e+01
17;50176;32;144;4.06e+01
20;50176;32;288;4.07e+01
24;50176;32;192;3.80e+01
28;50176;128;256;7.26e+01
34;50176;192;1152;7.92e+01
37;50176;32;256;3.70e+01
40;50176;96;288;6.89e+01
43;50176;96;864;7.13e+01
47;50176;64;256;6.06e+01
52;12544;192;480;7.72e+01
55;12544;96;480;6.83e+01
58;12544;208;864;7.64e+01
61;12544;16;480;2.82e+01
64;12544;48;144;7.50e+01
67;12544;48;432;5.49e+01
71;12544;64;480;5.75e+01
75;12544;160;512;7.36e+01
78;12544;112;512;6.88e+01
81;12544;224;1008;7.67e+01
84;12544;24;512;3.79e+01
87;12544;64;216;7.06e+01
90;12544;64;576;5.78e+01
94;12544;64;512;5.82e+01
98;12544;128;512;7.04e+01
104;12544;256;1152;7.90e+01
124;12544;144;512;7.47e+01
127;12544;288;1296;8.12e+01
130;12544;32;512;4.04e+01
133;12544;64;288;6.36e+01
144;12544;256;528;7.79e+01
147;12544;160;528;7.33e+01
150;12544;320;1440;8.06e+01
153;12544;32;528;3.99e+01
156;12544;128;288;7.03e+01
159;12544;128;1152;6.96e+01
163;12544;128;528;7.00e+01
168;3136;256;832;8.27e+01
171;3136;160;832;8.18e+01
174;3136;320;1440;7.91e+01
177;3136;32;832;5.96e+01
180;3136;128;288;8.13e+01
183;3136;128;1152;7.66e+01
187;3136;128;832;8.01e+01
191;3136;384;832;8.40e+01
194;3136;192;832;8.37e+01
197;3136;384;1728;8.09e+01
200;3136;48;832;7.19e+01
203;3136;128;432;8.15e+01
