#l;m;n;k;Gflops
1;12544;64;147;4.70e+00
4;3136;64;64;3.94e+00
7;3136;64;576;4.59e+00
10;3136;256;64;3.93e+00
16;3136;64;256;5.13e+00
36;3136;128;256;5.68e+00
39;784;128;1152;5.88e+00
42;784;512;128;4.75e+00
44;784;512;256;5.44e+00
48;784;128;512;5.04e+00
78;784;256;512;5.91e+00
81;196;256;2304;5.43e+00
84;196;1024;256;5.26e+00
86;196;1024;512;5.26e+00
90;196;256;1024;5.39e+00
140;196;512;1024;5.49e+00
143;49;512;4608;4.06e+00
146;49;2048;512;3.57e+00
148;49;2048;1024;3.31e+00
152;49;512;2048;4.02e+00
